topFinGrpNo,dcls_month,fin_co_no,fin_prdt_cd,pnsn_recp_trm,pnsn_recp_trm_nm,pnsn_entr_age,pnsn_entr_age_nm,mon_paym_atm,mon_paym_atm_nm,paym_prd,paym_prd_nm,pnsn_strt_age,pnsn_strt_age_nm,pnsn_recp_amt
050000,202010,0010628,2920,A,10년 확정,30,30세,10,"100,000원",10,10년,60,60세,193520
050000,202010,0010628,2920,A,10년 확정,30,30세,10,"100,000원",10,10년,65,65세,217452
050000,202010,0010628,2920,A,10년 확정,30,30세,10,"100,000원",20,20년,60,60세,356156
050000,202010,0010628,2920,A,10년 확정,30,30세,10,"100,000원",20,20년,65,65세,401460
050000,202010,0010628,2920,A,10년 확정,30,30세,20,"200,000원",10,10년,60,60세,397457
050000,202010,0010628,2920,A,10년 확정,30,30세,20,"200,000원",10,10년,65,65세,448189
050000,202010,0010628,2920,A,10년 확정,30,30세,20,"200,000원",20,20년,60,60세,721094
050000,202010,0010628,2920,A,10년 확정,30,30세,20,"200,000원",20,20년,65,65세,814354
050000,202010,0010628,2920,A,10년 확정,30,30세,30,"300,000원",10,10년,60,60세,601394
050000,202010,0010628,2920,A,10년 확정,30,30세,30,"300,000원",10,10년,65,65세,678925
050000,202010,0010628,2920,A,10년 확정,30,30세,30,"300,000원",20,20년,60,60세,1086032
050000,202010,0010628,2920,A,10년 확정,30,30세,30,"300,000원",20,20년,65,65세,1227248
050000,202010,0010628,2920,A,10년 확정,40,40세,10,"100,000원",10,10년,60,60세,153671
050000,202010,0010628,2920,A,10년 확정,40,40세,10,"100,000원",10,10년,65,65세,172367
050000,202010,0010628,2920,A,10년 확정,40,40세,10,"100,000원",20,20년,60,60세,280722
050000,202010,0010628,2920,A,10년 확정,40,40세,10,"100,000원",20,20년,65,65세,316114
050000,202010,0010628,2920,A,10년 확정,40,40세,20,"200,000원",10,10년,60,60세,312987
050000,202010,0010628,2920,A,10년 확정,40,40세,20,"200,000원",10,10년,65,65세,352618
050000,202010,0010628,2920,A,10년 확정,40,40세,20,"200,000원",20,20년,60,60세,565811
050000,202010,0010628,2920,A,10년 확정,40,40세,20,"200,000원",20,20년,65,65세,638666
050000,202010,0010628,2920,A,10년 확정,40,40세,30,"300,000원",10,10년,60,60세,472302
050000,202010,0010628,2920,A,10년 확정,40,40세,30,"300,000원",10,10년,65,65세,532869
050000,202010,0010628,2920,A,10년 확정,40,40세,30,"300,000원",20,20년,60,60세,850901
050000,202010,0010628,2920,A,10년 확정,40,40세,30,"300,000원",20,20년,65,65세,961218
050000,202010,0010628,2920,B,20년 확정,30,30세,10,"100,000원",10,10년,60,60세,108646
050000,202010,0010628,2920,B,20년 확정,30,30세,10,"100,000원",10,10년,65,65세,122082
050000,202010,0010628,2920,B,20년 확정,30,30세,10,"100,000원",20,20년,60,60세,199953
050000,202010,0010628,2920,B,20년 확정,30,30세,10,"100,000원",20,20년,65,65세,225387
050000,202010,0010628,2920,B,20년 확정,30,30세,20,"200,000원",10,10년,60,60세,223140
050000,202010,0010628,2920,B,20년 확정,30,30세,20,"200,000원",10,10년,65,65세,251622
050000,202010,0010628,2920,B,20년 확정,30,30세,20,"200,000원",20,20년,60,60세,404836
050000,202010,0010628,2920,B,20년 확정,30,30세,20,"200,000원",20,20년,65,65세,457194
050000,202010,0010628,2920,B,20년 확정,30,30세,30,"300,000원",10,10년,60,60세,337635
050000,202010,0010628,2920,B,20년 확정,30,30세,30,"300,000원",10,10년,65,65세,381162
050000,202010,0010628,2920,B,20년 확정,30,30세,30,"300,000원",20,20년,60,60세,609720
050000,202010,0010628,2920,B,20년 확정,30,30세,30,"300,000원",20,20년,65,65세,689001
050000,202010,0010628,2920,B,20년 확정,40,40세,10,"100,000원",10,10년,60,60세,86274
050000,202010,0010628,2920,B,20년 확정,40,40세,10,"100,000원",10,10년,65,65세,96770
050000,202010,0010628,2920,B,20년 확정,40,40세,10,"100,000원",20,20년,60,60세,157603
050000,202010,0010628,2920,B,20년 확정,40,40세,10,"100,000원",20,20년,65,65세,177472
050000,202010,0010628,2920,B,20년 확정,40,40세,20,"200,000원",10,10년,60,60세,175717
050000,202010,0010628,2920,B,20년 확정,40,40세,20,"200,000원",10,10년,65,65세,197967
050000,202010,0010628,2920,B,20년 확정,40,40세,20,"200,000원",20,20년,60,60세,317658
050000,202010,0010628,2920,B,20년 확정,40,40세,20,"200,000원",20,20년,65,65세,358560
050000,202010,0010628,2920,B,20년 확정,40,40세,30,"300,000원",10,10년,60,60세,265160
050000,202010,0010628,2920,B,20년 확정,40,40세,30,"300,000원",10,10년,65,65세,299163
050000,202010,0010628,2920,B,20년 확정,40,40세,30,"300,000원",20,20년,60,60세,477712
050000,202010,0010628,2920,B,20년 확정,40,40세,30,"300,000원",20,20년,65,65세,539647
050000,202010,0010596,19557,A,10년 확정,30,30세,10,"100,000원",10,10년,60,60세,196788
050000,202010,0010596,19557,A,10년 확정,30,30세,10,"100,000원",10,10년,65,65세,221427
050000,202010,0010596,19557,A,10년 확정,30,30세,10,"100,000원",20,20년,60,60세,360244
050000,202010,0010596,19557,A,10년 확정,30,30세,10,"100,000원",20,20년,65,65세,406362
050000,202010,0010596,19557,A,10년 확정,30,30세,20,"200,000원",10,10년,60,60세,403767
050000,202010,0010596,19557,A,10년 확정,30,30세,20,"200,000원",10,10년,65,65세,455605
050000,202010,0010596,19557,A,10년 확정,30,30세,20,"200,000원",20,20년,60,60세,730678
050000,202010,0010596,19557,A,10년 확정,30,30세,20,"200,000원",20,20년,65,65세,825475
050000,202010,0010596,19557,A,10년 확정,30,30세,30,"300,000원",10,10년,60,60세,610746
050000,202010,0010596,19557,A,10년 확정,30,30세,30,"300,000원",10,10년,65,65세,689783
050000,202010,0010596,19557,A,10년 확정,30,30세,30,"300,000원",20,20년,60,60세,1101113
050000,202010,0010596,19557,A,10년 확정,30,30세,30,"300,000원",20,20년,65,65세,1244588
050000,202010,0010596,19557,A,10년 확정,40,40세,10,"100,000원",10,10년,60,60세,155762
050000,202010,0010596,19557,A,10년 확정,40,40세,10,"100,000원",10,10년,65,65세,175010
050000,202010,0010596,19557,A,10년 확정,40,40세,10,"100,000원",20,20년,60,60세,283453
050000,202010,0010596,19557,A,10년 확정,40,40세,10,"100,000원",20,20년,65,65세,319481
050000,202010,0010596,19557,A,10년 확정,40,40세,20,"200,000원",10,10년,60,60세,317454
050000,202010,0010596,19557,A,10년 확정,40,40세,20,"200,000원",10,10년,65,65세,357950
050000,202010,0010596,19557,A,10년 확정,40,40세,20,"200,000원",20,20년,60,60세,572836
050000,202010,0010596,19557,A,10년 확정,40,40세,20,"200,000원",20,20년,65,65세,646892
050000,202010,0010596,19557,A,10년 확정,40,40세,30,"300,000원",10,10년,60,60세,479146
050000,202010,0010596,19557,A,10년 확정,40,40세,30,"300,000원",10,10년,65,65세,540889
050000,202010,0010596,19557,A,10년 확정,40,40세,30,"300,000원",20,20년,60,60세,862219
