topFinGrpNo,dcls_month,fin_co_no,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_way,pnsn_kind,pnsn_kind_nm,sale_strt_day,mntn_cnt,prdt_type,prdt_type_nm,avg_prft_rate,dcls_rate,guar_rate,btrm_prft_rate_1,btrm_prft_rate_2,btrm_prft_rate_3,etc,sale_co,dcls_strt_day,dcls_end_day,fin_co_subm_day
050000,202010,0010628,2920,롯데손해보험주식회사,연금저축손해보험 롯데 행복한동행 연금보험(2004),기타,3,연금저축보험(손해),20200401,363,201,금리연동형,-2.55,1.6,"경과기간 5년이하:1.25%

경과기간 10년이하:1.0%
 경과기간 10년초과:0.3%",1.6,1.65,1.7,,,20201031,,202010311800
050000,202010,0010596,19557,흥국생명보험주식회사,(무)흥국생명 연금저축보험,모집인,2,연금저축보험(생명),20190418,54,201,금리연동형,-2.59,2.35,5년 이내 : 1.25% 5년 초과 10년 이내 : 1.00% 10년 초과 : 0.75%,-0.04,,,,,20201030,,202010281600
050000,202010,0010596,19514,흥국생명보험주식회사,(무)흥국생명 온라인연금저축보험,"인터넷,스마트폰",2,연금저축보험(생명),20190418,43,201,금리연동형,-2.59,2.35,5년 이내 : 1.25% 5년 초과 10년 이내 : 1.00% 10년 초과 : 0.75%,-0.04,,,,,20201030,,202010281600
050000,202010,0010635,22940,주식회사KB손해보험,연금저축손해보험 KB다이렉트연금보험(20.04),인터넷,3,연금저축보험(손해),20200401,10,201,금리연동형,-3.41,1.5,"가입후 경과기간 5년이하 : 1.25%
5년초과 10년이하 : 1.00%
10년초과 : 0.30%",1.55,1.6,1.6,,,20201030,,202010301800
050000,202010,0010633,ZPA021060,삼성화재해상보험주식회사,연금저축손해보험 삼성화재 다이렉트 연금저축(2004.6),"인터넷,스마트폰",3,연금저축보험(손해),20200401,833,201,금리연동형,-3.73,1.6,"가입후 경과기간 5년이하 : 1.25%
 가입후 경과기간 5년초과 10년이하 : 0.75%
 가입후 경과기간 10년초과 : 0.25%",,,,,,20201031,,202010311800
050000,202010,0010594,Y0020,에이비엘생명보험주식회사,무배당 ABL인터넷연금저축보험(60세),인터넷,2,연금저축보험(생명),20200401,156,201,금리연동형,-3.76,2.65,10년이하연복리1.25%10년초과연복리0.50%,,,,,,20201030,,202010281800
050000,202010,0010593,1772025,한화생명보험주식회사,한화생명 e연금저축보험 무배당,인터넷,2,연금저축보험(생명),20200401,392,201,금리연동형,-3.81,2.37,"가입후 10년이하 1.0%, 10년초과 0.5%",,,,"지정대리청구서비스특약, 단체취급특약",,20201030,,202010281800
050000,202010,0013173,00713,농협생명보험주식회사,e-NH연금저축보험(무배당)_2002,인터넷,2,연금저축보험(생명),20200217,386,201,금리연동형,-3.93,2.2,"10년 이내 : 1.0%, 10년 초과 : 0.5%",,,,,,20201030,,202010291600
050000,202010,0013173,00714,농협생명보험주식회사,NH온라인연금저축보험(무배당)_2002,인터넷,2,연금저축보험(생명),20200217,133,201,금리연동형,-3.93,2.2,"10년 이내 : 1.0%, 10년 초과 : 0.5%",,,,,,20201030,,202010291600
050000,202010,0010628,2930,롯데손해보험주식회사,연금저축손해보험 롯데 하우머치 다이렉트 연금보험(2004),"인터넷,스마트폰",3,연금저축보험(손해),20200401,1,201,금리연동형,-3.95,1.6,"경과기간 5년이하:1.25%

경과기간 10년이하:1.0%
 경과기간 10년초과:0.3%",1.6,1.65,1.7,,,20201031,,202010311800
