topFinGrpNo,dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,save_trm,intr_rate,intr_rate2
020000,202410,0010001,WR0001B,S,단리,1,3.0,3.0
020000,202410,0010001,WR0001B,S,단리,3,3.37,3.37
020000,202410,0010001,WR0001B,S,단리,6,3.42,3.42
020000,202410,0010001,WR0001B,S,단리,12,3.37,3.37
020000,202410,0010001,WR0001B,S,단리,24,2.7,2.7
020000,202410,0010001,WR0001B,S,단리,36,2.7,2.7
020000,202410,0010002,00320342,S,단리,1,3.0,3.2
020000,202410,0010002,00320342,S,단리,3,3.3,3.5
020000,202410,0010002,00320342,S,단리,6,3.25,3.45
020000,202410,0010002,00320342,S,단리,12,3.05,3.35
020000,202410,0010016,10511008000996000,S,단리,6,2.22,2.87
020000,202410,0010016,10511008000996000,S,단리,12,2.91,3.56
020000,202410,0010016,10511008000996000,S,단리,24,2.78,3.43
020000,202410,0010016,10511008000996000,S,단리,36,2.8,3.45
020000,202410,0010016,10511008001004000,S,단리,3,1.82,2.27
020000,202410,0010016,10511008001004000,S,단리,6,2.32,2.77
020000,202410,0010016,10511008001004000,S,단리,12,3.01,3.46
020000,202410,0010016,10511008001004000,S,단리,24,2.88,3.33
020000,202410,0010016,10511008001004000,S,단리,36,2.9,3.35
020000,202410,0010016,10511008001166004,S,단리,12,3.05,3.5
020000,202410,0010016,10511008001278000,S,단리,1,2.1,2.15
020000,202410,0010016,10511008001278000,S,단리,3,3.3,3.35
020000,202410,0010016,10511008001278000,S,단리,6,3.15,3.4
020000,202410,0010016,10511008001278000,S,단리,12,3.1,3.35
020000,202410,0010016,10511008001278000,S,단리,24,2.88,3.13
020000,202410,0010016,10511008001278000,S,단리,36,2.9,3.15
020000,202410,0010017,01030500510002,S,단리,1,2.25,2.25
020000,202410,0010017,01030500510002,S,단리,3,2.45,3.05
020000,202410,0010017,01030500510002,S,단리,6,2.55,3.05
020000,202410,0010017,01030500510002,S,단리,12,2.75,3.2
020000,202410,0010017,01030500510002,S,단리,24,2.5,2.5
020000,202410,0010017,01030500510002,S,단리,36,2.5,2.5
020000,202410,0010017,01030500560002,S,단리,1,2.05,2.5
020000,202410,0010017,01030500560002,S,단리,3,2.6,3.05
020000,202410,0010017,01030500560002,S,단리,6,2.85,3.3
020000,202410,0010017,01030500560002,S,단리,12,3.0,3.45
