topFinGrpNo,dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,rsrv_type,rsrv_type_nm,save_trm,intr_rate,intr_rate2
020000,202410,0010001,WR0001F,S,단리,S,정액적립식,12,2.8,4.2
020000,202410,0010001,WR0001F,S,단리,S,정액적립식,24,2.8,4.2
020000,202410,0010001,WR0001F,S,단리,S,정액적립식,36,2.8,4.2
020000,202410,0010001,WR0001F,S,단리,F,자유적립식,12,2.6,4.0
020000,202410,0010001,WR0001F,S,단리,F,자유적립식,24,2.6,4.0
020000,202410,0010001,WR0001F,S,단리,F,자유적립식,36,2.6,4.0
020000,202410,0010001,WR0001L,S,단리,S,정액적립식,12,3.7,3.9
020000,202410,0010001,WR0001L,S,단리,F,자유적립식,12,3.7,3.9
020000,202410,0010002,00266451,S,단리,F,자유적립식,36,3.25,3.25
020000,202410,0010002,00266451,S,단리,F,자유적립식,24,3.2,3.2
020000,202410,0010002,00266451,S,단리,F,자유적립식,12,3.15,3.15
020000,202410,0010002,00266451,S,단리,F,자유적립식,6,2.9,2.9
020000,202410,0010002,00266451,S,단리,S,정액적립식,36,3.4,3.4
020000,202410,0010002,00266451,S,단리,S,정액적립식,24,3.35,3.35
020000,202410,0010002,00266451,S,단리,S,정액적립식,12,3.3,3.3
020000,202410,0010002,00266451,S,단리,S,정액적립식,6,3.0,3.0
020000,202410,0010016,10521001000846001,S,단리,S,정액적립식,12,3.31,3.86
020000,202410,0010016,10521001000846001,S,단리,S,정액적립식,24,3.18,3.73
020000,202410,0010016,10521001000846001,S,단리,S,정액적립식,36,3.2,3.75
020000,202410,0010016,10527001000925000,S,단리,F,자유적립식,12,3.51,4.06
020000,202410,0010016,10527001001272000,S,단리,F,자유적립식,12,3.65,4.45
020000,202410,0010016,10527001001272000,S,단리,F,자유적립식,6,2.95,3.75
020000,202410,0010016,10527001001278000,S,단리,F,자유적립식,6,2.65,3.1
020000,202410,0010016,10527001001278000,S,단리,F,자유적립식,12,3.3,3.75
020000,202410,0010016,10527001001278000,S,단리,F,자유적립식,24,3.2,3.65
020000,202410,0010016,10527001001278000,S,단리,F,자유적립식,36,3.25,3.7
020000,202410,0010017,01020400490001,S,단리,F,자유적립식,6,2.6,3.15
020000,202410,0010017,01020400490001,S,단리,F,자유적립식,12,2.7,3.6
020000,202410,0010017,01020400490002,S,단리,S,정액적립식,6,2.7,3.25
020000,202410,0010017,01020400490002,S,단리,S,정액적립식,12,2.8,3.7
020000,202410,0010017,01020400510001,S,단리,F,자유적립식,36,2.5,2.9
020000,202410,0010017,01020400510001,S,단리,F,자유적립식,24,2.5,2.9
020000,202410,0010017,01020400510001,S,단리,F,자유적립식,12,3.0,3.4
020000,202410,0010017,01020400510001,S,단리,F,자유적립식,6,2.9,3.3
020000,202410,0010017,01020400530001,S,단리,F,자유적립식,6,2.9,3.1
020000,202410,0010017,01020400530001,S,단리,F,자유적립식,12,3.0,3.2
020000,202410,0010017,01020400530001,S,단리,F,자유적립식,24,2.5,2.7
020000,202410,0010017,01020400530001,S,단리,F,자유적립식,36,2.5,2.7
020000,202410,0010017,1020400640001,S,단리,F,자유적립식,12,2.0,8.0
020000,202410,0010017,1020400640001,S,단리,F,자유적립식,24,2.0,8.0
020000,202410,0010019,TD11330029000,S,단리,F,자유적립식,36,3.0,4.2
020000,202410,0010019,TD11330029000,S,단리,F,자유적립식,24,2.9,4.1
020000,202410,0010019,TD11330029000,S,단리,F,자유적립식,12,2.8,4.0
020000,202410,0010019,TD11330029000,S,단리,F,자유적립식,6,2.7,3.9
020000,202410,0010019,TD11330029000,S,단리,S,정액적립식,36,3.2,4.4
020000,202410,0010019,TD11330029000,S,단리,S,정액적립식,24,3.1,4.3
020000,202410,0010019,TD11330029000,S,단리,S,정액적립식,12,3.0,4.2
020000,202410,0010019,TD11330029000,S,단리,S,정액적립식,6,2.9,4.1
020000,202410,0010019,TD11330030000,S,단리,S,정액적립식,12,2.8,4.7
020000,202410,0010019,TD11330030000,S,단리,F,자유적립식,12,2.6,4.5
020000,202410,0010019,TD11330031000,S,단리,S,정액적립식,12,3.3,3.8
020000,202410,0010019,TD11330031000,S,단리,F,자유적립식,12,3.0,3.5
020000,202410,0010020,220002101,S,단리,F,자유적립식,6,2.95,5.05
020000,202410,0010020,220002101,S,단리,F,자유적립식,12,3.25,5.35
020000,202410,0010020,220002501,S,단리,F,자유적립식,24,3.8,5.8
020000,202410,0010020,220002501,S,단리,F,자유적립식,12,3.6,5.6
020000,202410,0010020,220002701,S,단리,F,자유적립식,6,2.1,4.8
020000,202410,0010020,220002701,S,단리,F,자유적립식,12,2.3,5.0
020000,202410,0010022,10-01-30-031-0018-0000,S,단리,F,자유적립식,12,3.35,3.45
020000,202410,0010022,10-01-30-031-0018-0000,S,단리,F,자유적립식,24,3.45,3.55
020000,202410,0010022,10-01-30-031-0018-0000,S,단리,F,자유적립식,36,3.45,3.55
020000,202410,0010022,10-01-30-031-0036,S,단리,S,정액적립식,12,3.45,3.55
020000,202410,0010022,10-01-30-031-0036,S,단리,S,정액적립식,24,3.55,3.65
020000,202410,0010022,10-01-30-031-0036,S,단리,S,정액적립식,36,3.55,3.65
020000,202410,0010022,10-01-30-031-0049-0000,S,단리,S,정액적립식,6,2.0,6.0
020000,202410,0010024,21000111,S,단리,S,정액적립식,36,3.35,4.35
020000,202410,0010024,21000111,S,단리,S,정액적립식,24,3.25,4.25
020000,202410,0010024,21000111,S,단리,S,정액적립식,12,3.15,4.15
020000,202410,0010024,21001116,S,단리,F,자유적립식,6,3.35,4.05
020000,202410,0010024,21001116,S,단리,F,자유적립식,12,3.45,4.15
020000,202410,0010024,21001116,S,단리,F,자유적립식,24,3.55,4.25
020000,202410,0010024,21001199,S,단리,F,자유적립식,1,2.2,4.7
020000,202410,0010024,21001199,S,단리,F,자유적립식,6,2.25,4.75
020000,202410,0010024,21001199,S,단리,F,자유적립식,12,2.55,5.05
020000,202410,0010024,21001199,S,단리,F,자유적립식,24,2.55,5.05
020000,202410,0010024,21001199,S,단리,F,자유적립식,36,2.55,5.05
020000,202410,0010024,21001236,S,단리,S,정액적립식,36,3.4,5.0
020000,202410,0010024,21001236,S,단리,S,정액적립식,24,3.35,4.95
020000,202410,0010024,21001236,S,단리,S,정액적립식,12,3.3,4.9
020000,202410,0010024,21001259,S,단리,F,자유적립식,1,3.45,5.2
020000,202410,0010024,21001259,S,단리,F,자유적립식,3,3.45,5.2
020000,202410,0010024,21001259,S,단리,F,자유적립식,6,3.45,5.2
020000,202410,0010024,21001268,S,단리,F,자유적립식,1,2.2,7.7
020000,202410,0010026,01211210113,S,단리,F,자유적립식,1,2.9,4.4
020000,202410,0010026,01211210113,S,단리,F,자유적립식,3,2.9,4.4
